YEAR,CITIES,POPULATION
2000,NYK,"8,015,348"
2000,LAL,"3,703,921"
2000,CHI,"2,895,671"
2000,HOU,"1,977,811"
2000,PHI,"1,513,800"
2000,PHO,"1,326,997"
2000,SanDiego,"1,226,804"
2000,DAL,"1,190,731"
2000,SAS,"1,163,825"
2000,DET,"945,297"
2000,SanJose,"903,540"
2000,IND,"782,254"
2000,GSW,"777,360"
2000,Jacksonville,"736,583"
2000,Columbus,"715,971"
2000,MEM,"690,186"
2000,Austin,"672,241"
2000,Baltimore,"648,654"
2000,MIL,"597,049"
2000,BOS,"590,433"
2000,WAS,"571,744"
2000,CHH,"569,858"
2000,ElPaso,"564,792"
2000,SEA,"564,092"
2000,DEN,"556,094"
2000,Louisville/JeffersonCounty,"553,960"
2000,FortWorth,"545,993"
2000,Nashville-Davidson,"545,902"
2000,POR,"529,922"
2000,OklahomaCity,"507,579"
2000,Tucson,"489,355"
2000,LasVegas,"484,487"
2000,NewOrleans,"483,663"
2000,CLE,"476,574"
2000,LongBeach,"462,166"
2000,Albuquerque,"450,557"
2000,KansasCity,"442,369"
2000,Fresno,"430,724"
2000,VirginiaBeach,"426,534"
2000,ATL,"421,323"
2000,Omaha,"409,868"
2000,SAC,"409,230"
2000,Mesa,"402,853"
2000,Oakland,"400,674"
2000,Tulsa,"392,850"
2000,MIN,"382,545"
2000,Honolulu,"370,966"
2000,MIA,"363,177"
2000,ColoradoSprings,"362,186"
2000,Wichita,"352,366"
2000,St.Louis,"346,904"
2000,SantaAna,"338,506"
2000,Arlington,"334,792"
2000,Pittsburgh,"333,703"
2000,Cincinnati,"331,258"
2000,Anaheim,"329,267"
2000,Toledo,"313,691"
2000,Tampa,"304,157"
2000,Buffalo,"292,210"
2000,Raleigh,"290,184"
2000,St.Paul,"286,772"
2000,Aurora,"277,825"
2000,CorpusChristi,"277,253"
2000,NJN,"272,665"
2000,Lexington-Fayette,"261,189"
2000,Anchorage,"260,586"
2000,Riverside,"258,427"
2000,FortWayne,"253,914"
2000,St.Petersburg,"248,751"
2000,Bakersfield,"244,952"
2000,Stockton,"244,611"
2000,Birmingham,"242,051"
2000,JerseyCity,"240,028"
2000,Norfolk,"234,288"
2000,Greensboro,"228,518"
2000,BatonRouge,"228,350"
2000,Lincoln,"227,701"
2000,Hialeah,"226,142"
2000,Plano,"224,189"
2000,Glendale,"221,780"
2000,Rochester,"219,474"
2000,Akron,"216,853"
2000,Garland,"216,016"
2000,Madison,"210,070"
2000,Fremont,"204,294"
2000,Scottsdale,"204,285"
2000,Winston-Salem,"202,198"
2000,Montgomery,"201,714"
2000,Shreveport,"200,575"
2000,Chesapeake,"200,283"
2000,Lubbock,"200,231"
2000,DesMoines,"199,607"
2000,Fayetteville,"199,429"
2000,Mobile,"198,774"
2000,GrandRapids,"197,937"
2000,Richmond,"197,742"
2000,Spokane,"196,917"
2000,Yonkers,"196,221"
2000,BoiseCity,"195,589"
2000,Glendale,"195,315"
2000,Augusta-RichmondCounty,"195,048"
2000,ORL,"194,723"
2000,Tacoma,"193,878"
2000,Irving,"191,939"
2000,Modesto,"190,177"
2000,HuntingtonBeach,"190,003"
2000,Arlington,"189,527"
2000,SanBernardino,"189,019"
2000,Durham,"188,870"
2000,Columbus,"186,505"
2000,Jackson,"185,260"
2000,Reno,"183,973"
2000,LittleRock,"183,374"
2000,UTA,"181,779"
2000,NewportNews,"180,267"
2000,Chandler,"179,577"
2000,Laredo,"179,492"
2000,Henderson,"179,241"
2000,Knoxville,"176,273"
2000,ChulaVista,"175,608"
2000,Amarillo,"174,015"
2000,Providence,"173,861"
2000,Worcester,"172,500"
2000,Oxnard,"171,614"
2000,FortLauderdale,"171,099"
2000,Dayton,"165,804"
2000,GardenGrove,"165,407"
2000,Oceanside,"161,945"
2000,Huntsville,"160,097"
2000,Tempe,"158,860"
2000,Ontario,"158,664"
2000,Chattanooga,"156,770"
2000,SantaClarita,"155,628"
2000,Tallahassee,"152,967"
2000,Springfield,"152,231"
2000,Springfield,"151,895"
2000,Rockford,"151,826"
2000,OverlandPark,"151,705"
2000,Paterson,"149,309"
2000,SantaRosa,"149,276"
2000,Pomona,"148,112"
2000,KansasCity,"146,790"
2000,Fontana,"146,735"
2000,Irvine,"146,689"
2000,Vancouver,"146,574"
2000,Hampton,"146,424"
2000,Syracuse,"146,070"
2000,Aurora,"144,476"
2000,Lakewood,"144,410"
2000,Salinas,"143,497"
2000,Brownsville,"143,368"
2000,MorenoValley,"143,256"
2000,Pasadena,"141,958"
2000,Hayward,"140,996"
2000,Hollywood,"139,703"
2000,Bridgeport,"139,650"
2000,Eugene,"139,096"
2000,PembrokePines,"138,241"
2000,Torrance,"138,231"
2000,Warren,"138,096"
2000,Salem,"137,910"
2000,Pasadena,"134,540"
2000,Escondido,"134,316"
2000,Savannah,"132,726"
2000,Sunnyvale,"131,826"
2000,Orange,"129,921"
2000,Alexandria,"129,424"
2000,Naperville,"129,335"
2000,RanchoCucamonga,"129,134"
2000,Corona,"129,012"
2000,GrandPrairie,"128,082"
2000,Fullerton,"126,514"
2000,SiouxFalls,"125,598"
2000,Mesquite,"125,021"
2000,Flint,"124,741"
2000,SterlingHeights,"124,670"
2000,Hartford,"124,178"
2000,NewHaven,"123,759"
2000,Topeka,"123,386"
2000,Concord,"122,278"
2000,CedarRapids,"121,836"
2000,Evansville,"121,289"
2000,Elizabeth,"120,822"
2000,FortCollins,"120,062"
2000,CoralSprings,"119,733"
2000,Columbia,"119,370"
2000,Lansing,"119,309"
2000,Lancaster,"119,147"
2000,NorthLasVegas,"117,984"
2000,Palmdale,"117,528"
2000,Stamford,"117,483"
2000,ThousandOaks,"117,472"
2000,Vallejo,"117,360"
2000,Gilbert,"117,306"
2000,ElMonte,"116,204"
2000,Abilene,"115,871"
2000,AnnArbor,"114,639"
2000,Waco,"114,627"
2000,Independence,"113,581"
2000,Beaumont,"113,502"
2000,Peoria,"113,028"
2000,Gainesville,"112,997"
2000,Inglewood,"112,723"
2000,Bellevue,"112,480"
2000,Springfield,"112,236"
2000,SimiValley,"111,973"
2000,Lafayette,"111,910"
2000,Peoria,"110,950"
2000,Carrollton,"110,247"
2000,Clearwater,"109,527"
2000,CostaMesa,"109,467"
2000,WestValleyCity,"109,235"
2000,SouthBend,"108,359"
2000,Joliet,"108,230"
2000,Downey,"107,482"
2000,Waterbury,"107,311"
2000,Manchester,"107,227"
2000,McAllen,"107,030"
2000,Allentown,"106,595"
2000,Provo,"105,664"
2000,WestCovina,"105,282"
2000,Lowell,"105,181"
2000,Norwalk,"104,564"
2000,WichitaFalls,"104,120"
2000,Clarksville,"103,944"
2000,Erie,"103,659"
2000,DalyCity,"103,617"
2000,CapeCoral,"103,337"
2000,Berkeley,"103,027"
2000,GreenBay,"102,797"
2000,Gary,"102,489"
2000,Centennial,"102,439"
2000,SantaClara,"102,388"
2000,Arvada,"102,253"
2000,Pueblo,"102,133"
2000,Cambridge,"101,683"
2000,Westminster,"101,346"
2000,SanBuenaventura(Ventura),"101,231"
2000,MiamiGardens,"100,758"
2000,Athens-ClarkeCounty,"100,748"
2000,Livonia,"100,659"
2000,Burbank,"100,468"
2000,Portsmouth,"100,432"
2000,PompanoBeach,"100,326"
2000,Richmond,"99,628"
2000,Charleston,"99,014"
2000,Davenport,"98,228"
2000,Dearborn,"97,842"
2000,Cary,"97,411"
2000,Macon,"97,073"
2000,Fairfield,"96,830"
2000,Norman,"96,821"
2000,SouthGate,"96,538"
2000,Everett,"96,294"
2000,Visalia,"95,616"
2000,ElCajon,"95,085"
2000,Midland,"95,004"
2000,Elgin,"94,914"
2000,Roanoke,"94,806"
2000,Boulder,"94,598"
2000,Albany,"94,546"
2000,Brockton,"94,455"
2000,NewBedford,"93,896"
2000,Olathe,"93,880"
2000,Compton,"93,651"
2000,MissionViejo,"93,608"
2000,Rialto,"92,806"
2000,SanMateo,"92,709"
2000,Lawton,"92,559"
2000,Richardson,"92,281"
2000,FallRiver,"92,116"
2000,Billings,"91,950"
2000,Antioch,"91,547"
2000,Kenosha,"91,180"
2000,Fargo,"90,951"
2000,Gresham,"90,633"
2000,Odessa,"90,527"
2000,Killeen,"90,144"
2000,Carson,"89,985"
2000,Vista,"89,957"
2000,Wilmington,"89,765"
2000,SantaBarbara,"89,573"
2000,Vacaville,"89,443"
2000,Rochester,"89,374"
2000,Lynn,"89,210"
2000,PortSt.Lucie,"89,175"
2000,Sandy,"89,012"
2000,SanAngelo,"88,427"
2000,Waukegan,"88,352"
2000,Quincy,"88,351"
2000,Westminster,"88,253"
2000,MiamiBeach,"88,055"
2000,Nashua,"86,788"
2000,Westland,"86,699"
2000,HighPoint,"86,609"
2000,Duluth,"86,238"
2000,Sunrise,"86,071"
2000,Columbia,"85,986"
2000,Warwick,"85,947"
2000,Parma,"85,528"
2000,Cicero,"85,485"
2000,Trenton,"85,407"
2000,CitrusHeights,"85,371"
2000,Alhambra,"85,177"
2000,FederalWay,"85,173"
2000,Bloomington,"85,132"
2000,Lakeland,"85,067"
2000,SiouxCity,"84,965"
2000,SandySprings,"84,963"
2000,Tyler,"84,449"
2000,Orem,"84,420"
2000,SantaMonica,"84,363"
2000,Hawthorne,"84,215"
2000,Whittier,"83,821"
2000,Newton,"83,788"
2000,Denton,"83,641"
2000,Yakima,"83,469"
2000,Thornton,"83,269"
2000,BocaRaton,"83,146"
2000,Plantation,"83,085"
2000,Norwalk,"83,061"
2000,WestPalmBeach,"82,879"
2000,Hammond,"82,826"
2000,Davie,"82,202"
2000,FarmingtonHills,"82,049"
2000,Decatur,"81,912"
2000,Racine,"81,871"
2000,Youngstown,"81,720"
2000,ElkGrove,"81,684"
2000,NorthCharleston,"81,668"
2000,Roswell,"81,599"
2000,Redding,"81,392"
2000,Reading,"81,309"
2000,Roseville,"81,298"
2000,Troy,"80,999"
2000,Canton,"80,904"
2000,SpokaneValley,"80,869"
2000,FortSmith,"80,698"
2000,BrokenArrow,"80,686"
2000,Kent,"80,609"
2000,Lawrence,"80,558"
2000,Beaverton,"79,913"
2000,Camden,"79,780"
2000,SanLeandro,"79,749"
2000,PalmBay,"79,625"
2000,WestJordan,"79,483"
2000,Cranston,"79,435"
2000,Lakewood,"79,434"
2000,Carlsbad,"79,417"
2000,Yuma,"79,090"
2000,Clifton,"79,078"
2000,NewportBeach,"79,032"
2000,Tuscaloosa,"78,689"
2000,Lewisville,"78,399"
2000,Greeley,"78,385"
2000,Southfield,"78,314"
2000,SantaMaria,"78,071"
2000,BuenaPark,"78,063"
2000,Ogden,"77,548"
2000,Somerville,"77,510"
2000,Chico,"77,093"
2000,Kalamazoo,"77,017"
2000,Albany,"76,707"
2000,ArlingtonHeights,"76,514"
2000,LakeForest,"76,075"
2000,BaldwinPark,"75,961"
2000,Scranton,"75,851"
2000,RedwoodCity,"75,446"
2000,Schaumburg,"75,310"
2000,Danbury,"75,112"
2000,Miramar,"74,554"
2000,Largo,"74,539"
2000,DeerfieldBeach,"74,424"
2000,Evanston,"74,147"
2000,St.Joseph,"74,078"
2000,Livermore,"73,944"
2000,LasCruces,"73,605"
2000,Melbourne,"73,153"
2000,Pawtucket,"73,046"
2000,Bellflower,"72,985"
2000,Longview,"72,925"
2000,Asheville,"72,883"
2000,Napa,"72,882"
2000,Wilmington,"72,715"
2000,Alameda,"72,488"
2000,NewRochelle,"72,288"
2000,Longmont,"72,245"
2000,Lawrence,"72,176"
2000,LakeCharles,"71,856"
2000,NewBritain,"71,558"
2000,Gulfport,"71,457"
2000,Hillsboro,"71,346"
2000,Bethlehem,"71,283"
2000,Bloomington,"71,064"
2000,Lee'sSummit,"71,002"
2000,Murfreesboro,"70,858"
2000,Muncie,"70,852"
2000,MountainView,"70,685"
2000,Champaign,"70,468"
2000,Appleton,"70,393"
2000,Kenner,"70,375"
2000,Deltona,"70,080"
2000,Chino,"70,025"
2000,Lynwood,"69,953"
2000,Clovis,"69,918"
2000,EastOrange,"69,746"
2000,Wyoming,"69,547"
2000,RochesterHills,"68,954"
2000,CollegeStation,"68,900"
2000,Upland,"68,844"
2000,Waterloo,"68,766"
2000,Lorain,"68,724"
2000,Temecula,"68,703"
2000,Edmond,"68,553"
2000,MountVernon,"68,429"
2000,Passaic,"67,895"
2000,Bellingham,"67,817"
2000,Tustin,"67,711"
2000,Pontiac,"67,653"
2000,Gastonia,"67,622"
2000,BrooklynPark,"67,551"
2000,UnionCity,"67,475"
2000,ChinoHills,"67,367"
2000,UnionCity,"67,057"
2000,Lauderhill,"66,940"
2000,Sparks,"66,912"
2000,Baytown,"66,644"
2000,Palatine,"66,344"
2000,Medford,"66,311"
2000,Plymouth,"66,034"
2000,Taylor,"65,982"
2000,Bryan,"65,925"
2000,Springfield,"65,875"
2000,Jacksonville,"65,776"
2000,Waukesha,"65,701"
2000,Bloomington,"65,685"
2000,Lynchburg,"65,281"
2000,SugarLand,"64,915"
2000,Merced,"64,654"
2000,WalnutCreek,"64,595"
2000,Victorville,"64,527"
2000,Pleasanton,"64,296"
2000,Suffolk,"64,200"
2000,Redlands,"63,970"
2000,DaytonaBeach,"63,808"
2000,Eagan,"63,735"
2000,PicoRivera,"63,503"
2000,RedondoBeach,"63,503"
2000,Hoover,"63,378"
2000,Oshkosh,"63,378"
2000,Skokie,"63,363"
2000,SantaFe,"63,286"
2000,Hesperia,"63,050"
2000,St.ClairShores,"63,016"
2000,IowaCity,"62,865"
2000,LagunaNiguel,"62,862"
2000,Milpitas,"62,846"
2000,Greenville,"62,791"
2000,Montebello,"62,223"
2000,EauClaire,"62,132"
2000,Bayonne,"61,826"
2000,Schenectady,"61,750"
2000,CoonRapids,"61,730"
2000,Saginaw,"61,566"
2000,Marietta,"61,472"
2000,Lafayette,"61,419"
2000,HuntingtonPark,"61,418"
2000,WestAllis,"61,086"
2000,St.Charles,"60,672"
2000,RoundRock,"60,670"
2000,JohnsCreek,"60,642"
2000,SouthSanFrancisco,"60,617"
2000,Hamilton,"60,601"
2000,NorthLittleRock,"60,594"
2000,BoyntonBeach,"60,580"
2000,Victoria,"60,529"
2000,Utica,"60,473"
2000,Janesville,"60,422"
2000,DelrayBeach,"60,332"
2000,Bristol,"60,288"
2000,Burnsville,"60,280"
2000,MontereyPark,"60,172"
2000,RapidCity,"60,054"
2000,RoyalOak,"59,978"
2000,Jackson,"59,922"
2000,St.Cloud,"59,776"
2000,NorthMiami,"59,762"
2000,Anderson,"59,616"
2000,TerreHaute,"59,516"
2000,LaHabra,"59,468"
2000,Kennewick,"59,424"
2000,Hemet,"59,405"
2000,Fayetteville,"59,384"
2000,Waltham,"59,214"
2000,Davis,"59,158"
2000,Haverhill,"59,113"
2000,YorbaLinda,"59,089"
2000,Layton,"58,878"
2000,RockyMount,"58,819"
2000,Harlingen,"58,807"
2000,Taylorsville,"58,765"
2000,PaloAlto,"58,570"
2000,Lakewood,"58,419"
2000,DearbornHeights,"58,381"
2000,CouncilBluffs,"58,346"
2000,Dothan,"58,310"
2000,Meriden,"58,271"
2000,Encinitas,"58,180"
2000,Tracy,"58,047"
2000,Gardena,"57,935"
2000,Missoula,"57,725"
2000,Dubuque,"57,696"
2000,Kettering,"57,659"
2000,PortArthur,"57,629"
2000,Galveston,"57,510"
2000,Camarillo,"57,507"
2000,Lodi,"57,491"
2000,Pittsburg,"57,181"
2000,GreatFalls,"57,095"
2000,DesPlaines,"57,079"
2000,Bolingbrook,"56,964"
2000,Turlock,"56,960"
2000,Lancaster,"56,768"
2000,Greenville,"56,716"
2000,Concord,"56,620"
2000,Lakewood,"56,500"
2000,BossierCity,"56,492"
2000,DiamondBar,"56,387"
2000,Malden,"56,296"
2000,MountProspect,"56,210"
2000,SanRafael,"56,137"
2000,Taunton,"56,119"
2000,Pensacola,"56,092"
2000,Elyria,"56,069"
2000,JohnsonCity,"55,999"
2000,McKinney,"55,993"
2000,NorthRichlandHills,"55,966"
2000,Tamarac,"55,929"
2000,SanMarcos,"55,866"
2000,SantaCruz,"55,861"
2000,Bismarck,"55,805"
2000,Vineland,"55,805"
2000,Jonesboro,"55,763"
2000,Medford,"55,662"
2000,Wheaton,"55,565"
2000,NiagaraFalls,"55,510"
2000,Auburn,"55,472"
2000,Paramount,"55,378"
2000,EdenPrairie,"55,242"
2000,OakLawn,"55,230"
2000,Temple,"55,209"
2000,PineBluff,"55,068"
2000,FountainValley,"55,029"
2000,Petaluma,"54,831"
2000,LaMesa,"54,806"
2000,Nampa,"54,770"
2000,Chicopee,"54,735"
2000,AppleValley,"54,597"
2000,NationalCity,"54,311"
2000,MidwestCity,"54,310"
2000,Owensboro,"54,238"
2000,Decatur,"54,091"
2000,Margate,"53,976"
2000,Berwyn,"53,961"
2000,Florissant,"53,916"
2000,RanchoCordova,"53,727"
2000,Rosemead,"53,612"
2000,Carmel,"53,562"
2000,Springfield,"53,532"
2000,MissouriCity,"53,501"
2000,Cheyenne,"53,411"
2000,BattleCreek,"53,365"
2000,Charleston,"53,339"
2000,WhitePlains,"53,307"
2000,Arcadia,"53,201"
2000,Shoreline,"53,196"
2000,Hempstead,"53,189"
2000,Frederick,"53,113"
2000,Flagstaff,"53,095"
2000,Santee,"53,046"
2000,Monroe,"53,003"
2000,Gaithersburg,"52,861"
2000,Folsom,"52,714"
2000,RioRancho,"52,706"
2000,Bend,"52,624"
2000,Cupertino,"52,623"
2000,Elkhart,"52,612"
2000,Euclid,"52,600"
2000,CarsonCity,"52,551"
2000,Sarasota,"52,541"
2000,OakPark,"52,501"
2000,WestHaven,"52,372"
2000,Bowie,"52,259"
2000,FortMyers,"51,971"
2000,LaCrosse,"51,943"
2000,Loveland,"51,881"
2000,Murrieta,"51,799"
2000,Huntington,"51,785"
2000,FlowerMound,"51,774"
2000,Mansfield,"51,705"
2000,Middletown,"51,619"
2000,Cerritos,"51,570"
2000,Pocatello,"51,552"
2000,Renton,"51,485"
2000,St.Peters,"51,473"
2000,OrlandPark,"51,413"
2000,MapleGrove,"51,367"
2000,Minnetonka,"51,115"
2000,YubaCity,"51,111"
2000,IdahoFalls,"51,110"
2000,Ames,"50,927"
2000,O'Fallon,"50,901"
2000,Weston,"50,813"
2000,RockHill,"50,774"
2000,Sheboygan,"50,751"
2000,Milford,"50,695"
2000,Biloxi,"50,691"
2000,ClevelandHeights,"50,657"
2000,SanClemente,"50,556"
2000,Manteca,"50,409"
2000,Mentor,"50,338"
2000,Indio,"50,323"
2000,St.George,"50,168"
2000,Bradenton,"50,044"
2000,WarnerRobins,"49,770"
2000,Woodland,"49,726"
2000,Casper,"49,719"
2000,HoffmanEstates,"49,699"
2000,DownersGrove,"49,676"
2000,BowlingGreen,"49,528"
2000,Glendora,"49,502"
2000,Corvallis,"49,436"
2000,Altoona,"49,429"
2000,CuyahogaFalls,"49,408"
2000,GrandForks,"49,250"
2000,TinleyPark,"49,237"
2000,Troy,"49,224"
2000,Kissimmee,"49,143"
2000,Edinburg,"48,934"
2000,Harrisburg,"48,879"
2000,MountPleasant,"48,875"
2000,EastProvidence,"48,772"
2000,Shawnee,"48,630"
2000,BlueSprings,"48,483"
2000,Peabody,"48,376"
2000,NewBrunswick,"48,316"
2000,Danville,"48,256"
2000,Poway,"48,240"
2000,Warren,"48,128"
2000,Roseville,"48,061"
2000,BarnstableTown,"48,054"
2000,Colton,"48,046"
2000,ChapelHill,"48,032"
2000,Springdale,"47,858"
2000,Plainfield,"47,847"
2000,Rockville,"47,813"
2000,Novato,"47,792"
2000,Ocala,"47,538"
2000,Novi,"47,478"
2000,Edina,"47,397"
2000,Pharr,"47,387"
2000,Revere,"47,383"
2000,PerthAmboy,"47,369"
2000,Binghamton,"47,283"
2000,Bedford,"47,221"
2000,WestDesMoines,"47,182"
2000,PinellasPark,"47,169"
2000,Wauwatosa,"47,102"
2000,RanchoSantaMargarita,"47,048"
2000,Mishawaka,"47,009"
2000,Woodbury,"46,960"
2000,LaMirada,"46,935"
2000,Covina,"46,929"
2000,Enid,"46,919"
2000,Kokomo,"46,888"
2000,Chesterfield,"46,858"
2000,Placentia,"46,673"
2000,Alpharetta,"46,607"
2000,Cypress,"46,599"
2000,PortOrange,"46,575"
2000,EastLansing,"46,569"
2000,Watsonville,"46,537"
2000,Alexandria,"46,517"
2000,Mission,"46,437"
2000,Franklin,"46,376"
2000,Auburn,"46,345"
2000,Newark,"46,324"
2000,Euless,"46,241"
2000,Valdosta,"46,148"
2000,Hattiesburg,"46,104"
2000,Pearland,"46,058"
2000,WestNewYork,"45,985"
2000,AppleValley,"45,939"
2000,Porterville,"45,935"
2000,Burlington,"45,934"
2000,Tulare,"45,887"
2000,LeagueCity,"45,874"
2000,Salina,"45,783"
2000,Manhattan,"45,717"
2000,Pittsfield,"45,704"
2000,Middletown,"45,681"
2000,GrandJunction,"45,652"
2000,Joplin,"45,642"
2000,Redmond,"45,638"
2000,Normal,"45,630"
2000,Murray,"45,565"
2000,Blaine,"45,468"
2000,Kentwood,"45,428"
2000,Kingsport,"45,383"
2000,Roswell,"45,193"
2000,Rowlett,"45,104"
2000,Allen,"45,089"
2000,Wilson,"45,060"
2000,Kirkland,"45,026"
2000,Portage,"44,932"
2000,SanRamon,"44,917"
2000,Highland,"44,850"
2000,Azusa,"44,820"
2000,PalmDesert,"44,596"
2000,Smyrna,"44,525"
2000,Bellevue,"44,515"
2000,SanLuisObispo,"44,380"
2000,CoconutCreek,"44,227"
2000,Bartlett,"44,210"
2000,St.LouisPark,"44,167"
2000,BellGardens,"44,118"
2000,Moline,"43,957"
2000,Methuen,"43,952"
2000,Strongsville,"43,890"
2000,Freeport,"43,799"
2000,Madera,"43,678"
2000,Conway,"43,676"
2000,Lakeville,"43,597"
2000,GrandIsland,"43,548"
2000,Woonsocket,"43,284"
2000,BuffaloGrove,"43,272"
2000,Glenview,"43,167"
2000,Olympia,"43,102"
2000,Elmhurst,"43,085"
2000,Covington,"42,986"
2000,Wilkes-Barre,"42,984"
2000,CathedralCity,"42,966"
2000,PalmSprings,"42,964"
2000,Hackensack,"42,830"
2000,Tigard,"42,815"
2000,Menifee,"42,775"
2000,CoralGables,"42,732"
2000,Logan,"42,713"
2000,Grapevine,"42,668"
2000,Newark,"42,665"
2000,Lombard,"42,645"
2000,LakeHavasuCity,"42,406"
2000,Belleville,"42,364"
2000,FondduLac,"42,244"
2000,OaklandPark,"42,128"
2000,Fairfield,"42,120"
2000,Hanford,"41,955"
2000,Attleboro,"41,954"
2000,Hutchinson,"41,823"
2000,Midland,"41,788"
2000,Lima,"41,774"
2000,Danville,"41,768"
2000,TexasCity,"41,756"
2000,NorthMiamiBeach,"41,733"
2000,Gilroy,"41,703"
2000,Leominster,"41,469"
2000,Yucaipa,"41,427"
2000,Greenville,"41,404"
2000,Bountiful,"41,392"
2000,RohnertPark,"41,366"
2000,Meridian,"41,307"
2000,AltamonteSprings,"41,295"
2000,Moore,"41,266"
2000,York,"41,261"
2000,Lompoc,"41,228"
2000,RanchoPalosVerdes,"41,222"
2000,LaPuente,"41,124"
2000,Albany,"41,072"
2000,Hendersonville,"41,046"
2000,Titusville,"40,990"
2000,Concord,"40,743"
2000,Quincy,"40,686"
2000,Sumter,"40,643"
2000,JeffersonCity,"40,578"
2000,EastPoint,"40,538"
2000,Sayreville,"40,516"
2000,Kearny,"40,495"
2000,CarolStream,"40,493"
2000,Littleton,"40,452"
2000,Salem,"40,450"
2000,AtlanticCity,"40,449"
2000,Harrisonburg,"40,435"
2000,Lenexa,"40,381"
2000,FortPierce,"40,282"
2000,Goldsboro,"40,165"
2000,SanBruno,"40,158"
2000,Spartanburg,"40,141"
2000,Charlottesville,"40,117"
2000,Westfield,"40,084"
2000,Muskegon,"40,071"
2000,LincolnPark,"40,022"
2000,AlisoViejo,"39,998"
2000,Rogers,"39,912"
2000,SanGabriel,"39,888"
2000,Holyoke,"39,883"
2000,Jupiter,"39,874"
2000,Blacksburg,"39,848"
2000,Burlington,"39,846"
2000,Beverly,"39,842"
2000,Delano,"39,739"
2000,RockIsland,"39,643"
2000,Broomfield,"39,563"
2000,Edmonds,"39,550"
2000,Linden,"39,443"
2000,Columbus,"39,315"
2000,Stillwater,"39,259"
2000,Findlay,"39,204"
2000,DeKalb,"39,196"
2000,Sanford,"39,193"
2000,Muskogee,"39,176"
2000,HaltomCity,"39,107"
2000,Richmond,"39,098"
2000,Lawrence,"39,095"
2000,Fishers,"39,043"
2000,CalumetCity,"39,035"
2000,Fitchburg,"39,010"
2000,Richland,"38,930"
2000,Campbell,"38,924"
2000,Conroe,"38,920"
2000,CulverCity,"38,891"
2000,Gadsden,"38,879"
2000,Wellington,"38,833"
2000,Brookfield,"38,759"
2000,Hoboken,"38,704"
2000,Wausau,"38,620"
2000,NewBraunfels,"38,583"
2000,NorthLauderdale,"38,581"
2000,Farmington,"38,445"
2000,NewBerlin,"38,429"
2000,Beavercreek,"38,393"
2000,StateCollege,"38,387"
2000,Pacifica,"38,386"
2000,CrystalLake,"38,348"
2000,Everett,"38,291"
2000,HanoverPark,"38,277"
2000,HuberHeights,"38,239"
2000,Shelton,"38,201"
2000,ElCentro,"38,126"
2000,Urbana,"37,847"
2000,NewAlbany,"37,843"
2000,DeSoto,"37,836"
2000,SierraVista,"37,814"
2000,Germantown,"37,796"
2000,ParkRidge,"37,789"
2000,UniversityCity,"37,712"
2000,Hickory,"37,690"
2000,Stanton,"37,564"
2000,Woburn,"37,420"
2000,Kannapolis,"37,391"
2000,Marion,"37,298"
2000,Avondale,"37,257"
2000,Rocklin,"37,249"
2000,Bremerton,"37,227"
2000,Monrovia,"37,007"
2000,Chester,"36,878"
2000,Bartlett,"36,827"
2000,PanamaCity,"36,818"
2000,Hagerstown,"36,779"
2000,Greenwood,"36,736"
2000,Meridian,"36,727"
2000,BayCity,"36,724"
2000,Bell,"36,708"
2000,Streamwood,"36,625"
2000,Marlborough,"36,612"
2000,Minot,"36,587"
2000,Coppell,"36,574"
2000,OrmondBeach,"36,539"
2000,Addison,"36,417"
2000,SanMarcos,"36,412"
2000,Perris,"36,393"
2000,Florence,"36,348"
2000,Hurst,"36,340"
2000,ValleyStream,"36,329"
2000,PalmBeachGardens,"36,300"
2000,Wheeling,"36,267"
2000,Dunedin,"36,266"
2000,Jackson,"36,242"
2000,CedarFalls,"36,202"
2000,Norwich,"36,131"
2000,Duncanville,"36,086"
2000,HotSprings,"36,044"
2000,Annapolis,"35,985"
2000,NorthChicago,"35,976"
2000,Martinez,"35,939"
2000,WestHollywood,"35,874"
2000,Beloit,"35,828"
2000,LakeOswego,"35,703"
2000,FortLee,"35,683"
2000,Lewiston,"35,647"
2000,LakeWorth,"35,632"
2000,Rome,"35,566"
2000,Brea,"35,536"
2000,Lancaster,"35,507"
2000,Westerville,"35,486"
2000,LongBeach,"35,482"
2000,Leavenworth,"35,476"
2000,CapeGirardeau,"35,466"
2000,Greenfield,"35,436"
2000,Maplewood,"35,396"
2000,Frisco,"35,282"
2000,Torrington,"35,239"
2000,Sherman,"35,203"
2000,DanaPoint,"35,195"
2000,Alamogordo,"35,166"
2000,CottonwoodHeights,"35,152"
2000,Huntsville,"35,145"
2000,Chelsea,"35,105"
2000,Holland,"35,048"
2000,SanDimas,"35,044"
2000,TwinFalls,"34,949"
2000,Coeurd'Alene,"34,932"
2000,Manassas,"34,886"
2000,Rome,"34,871"
2000,Ceres,"34,851"
2000,Texarkana,"34,843"
2000,Hollister,"34,832"
2000,Sammamish,"34,797"
2000,Bartlesville,"34,767"
2000,ElkGroveVillage,"34,755"
2000,Longview,"34,708"
2000,Puyallup,"34,519"
2000,Richfield,"34,422"
2000,Danville,"34,384"
2000,HallandaleBeach,"34,368"
2000,Prescott,"34,352"
2000,Tupelo,"34,294"
2000,Manitowoc,"34,180"
2000,MorganHill,"34,148"
2000,NorthOlmsted,"34,092"
